UserID,profile,total_tasks,done_tasks,overdue_tasks,In_progress_tasks,leave_count,rating,Turnover
52,high_risk,10,4,3,6,3,3.14,0
53,stable,19,18,0,1,1,5.0,0
54,declining,15,4,6,11,1,3.69,1
55,declining,6,3,1,3,3,3.35,0
56,pressured,6,4,0,2,0,5.0,1
57,stable,8,7,0,1,2,5.0,0
58,stable,8,6,0,2,2,3.65,1
59,declining,18,8,2,10,1,3.77,0
60,pressured,8,5,0,3,2,4.53,0
61,pressured,17,9,4,8,2,3.38,0
62,declining,11,7,3,4,3,3.87,1
63,high_risk,17,1,10,16,5,3.36,1
64,stable,16,16,1,0,0,5.0,0
65,stable,15,12,0,3,1,3.25,0
66,stable,17,12,1,5,1,5.0,0
67,stable,18,14,0,4,1,3.52,0
68,high_risk,6,2,3,4,2,2.85,0
69,declining,8,2,2,6,3,3.69,1
70,stable,17,17,1,0,0,4.59,0
71,declining,17,10,2,7,3,3.44,0
72,declining,18,9,6,9,3,3.36,0
73,high_risk,10,4,4,6,4,3.11,0
74,pressured,10,6,1,4,2,4.3,1
75,stable,13,12,1,1,0,4.03,0
76,pressured,17,13,0,4,2,4.09,0
77,stable,9,6,0,3,0,4.23,0
78,stable,19,15,0,4,0,4.87,0
79,declining,7,4,1,3,3,2.84,0
80,declining,7,2,1,5,3,4.26,1
81,high_risk,6,0,3,6,2,2.3,0
82,declining,6,1,1,5,1,3.24,1
83,declining,19,5,2,14,4,2.56,1
84,pressured,11,8,2,3,1,4.79,0
85,pressured,19,12,0,7,0,4.63,0
86,stable,17,13,1,4,1,5.0,0
87,pressured,20,12,4,8,0,4.7,0
88,high_risk,10,1,5,9,3,2.49,0
89,stable,13,13,1,0,1,3.41,0
90,stable,14,12,1,2,0,4.39,0
91,declining,7,2,2,5,3,2.67,1
92,pressured,15,9,0,6,1,3.86,0
93,stable,20,15,1,5,2,3.59,1
94,high_risk,13,1,5,12,2,2.67,0
95,high_risk,19,2,7,17,4,3.79,1
96,stable,8,8,0,0,2,4.95,0
97,stable,15,13,0,2,2,4.78,0
98,declining,11,4,2,7,4,3.19,1
99,pressured,15,10,0,5,0,5.0,0
100,pressured,17,11,1,6,0,3.78,0
101,declining,16,6,6,10,2,2.27,1
102,stable,9,7,0,2,2,4.8,1
103,stable,14,12,0,2,2,4.75,0
104,high_risk,9,0,3,9,5,2.6,0
105,declining,16,5,4,11,1,2.87,1
106,pressured,6,5,0,1,1,4.89,0
107,pressured,20,14,5,6,2,2.81,0
108,pressured,7,3,1,4,1,4.4,1
109,stable,14,12,0,2,1,3.52,0
110,high_risk,19,5,11,14,4,1.92,0
111,stable,13,12,1,1,0,4.73,0
112,stable,10,9,0,1,1,4.4,0
113,high_risk,14,2,8,12,5,1.25,1
114,stable,6,6,0,0,2,4.59,0
115,stable,12,11,1,1,1,5.0,0
116,high_risk,6,1,3,5,4,2.02,0
117,stable,10,9,0,1,0,4.69,0
118,stable,11,8,0,3,2,4.1,0
119,pressured,18,13,4,5,2,4.79,1
120,pressured,15,10,2,5,0,3.75,0
121,stable,11,11,0,0,2,5.0,0
122,stable,6,6,0,0,2,3.9,0
123,declining,13,7,2,6,1,4.93,0
124,high_risk,11,3,2,8,3,4.15,1
125,stable,12,9,0,3,2,3.79,0
126,declining,15,7,2,8,1,3.3,0
127,pressured,15,10,1,5,1,3.23,0
128,stable,16,14,1,2,0,2.82,0
129,high_risk,6,0,3,6,4,1.69,0
130,pressured,17,13,0,4,2,4.76,0
131,declining,16,6,6,10,1,3.09,0
132,declining,20,7,4,13,2,3.1,0
133,pressured,20,14,1,6,0,4.32,0
134,pressured,6,5,0,1,1,4.44,0
135,pressured,8,6,2,2,2,3.61,0
136,stable,13,11,1,2,0,4.71,0
137,stable,7,7,0,0,1,3.8,0
138,stable,15,12,0,3,2,5.0,1
139,stable,19,14,1,5,0,4.43,0
140,high_risk,13,3,3,10,3,3.13,1
141,pressured,18,9,0,9,1,3.45,1
142,declining,10,5,2,5,2,4.76,0
143,pressured,7,3,0,4,0,5.0,1
144,stable,20,20,2,0,1,4.59,0
145,stable,18,13,1,5,0,4.5,1
146,declining,8,2,3,6,2,1.5,1
147,pressured,9,4,2,5,2,3.85,0
148,stable,13,9,1,4,2,4.26,0
149,stable,19,16,0,3,2,5.0,0
150,declining,14,8,4,6,4,3.16,0
151,declining,10,6,4,4,3,3.77,1
152,high_risk,18,1,5,17,2,1.89,1
153,pressured,13,9,3,4,2,4.21,0
154,stable,14,13,0,1,2,5.0,0
155,stable,15,11,0,4,1,4.89,1
156,stable,13,10,0,3,2,4.53,0
157,stable,8,7,0,1,2,3.77,1
158,declining,13,4,4,9,3,3.45,1
159,declining,14,8,3,6,1,3.89,0
160,high_risk,19,3,10,16,2,3.02,1
161,declining,12,6,1,6,2,5.0,0
162,stable,20,18,0,2,0,4.26,0
163,pressured,19,11,3,8,1,2.69,0
164,high_risk,18,5,6,13,5,2.33,1
165,high_risk,16,6,8,10,3,3.56,0
166,stable,15,11,0,4,1,5.0,0
167,stable,20,15,0,5,2,4.8,0
168,pressured,6,5,1,1,2,5.0,0
169,pressured,14,10,1,4,0,3.86,0
170,high_risk,14,1,7,13,4,2.17,1
171,pressured,13,9,0,4,1,4.67,1
172,high_risk,7,3,1,4,5,3.68,0
173,pressured,13,8,3,5,2,4.01,0
174,stable,16,14,1,2,0,4.87,0
175,high_risk,9,2,3,7,5,2.87,1
176,stable,9,7,0,2,1,4.55,0
177,stable,18,18,0,0,0,4.21,1
178,declining,11,5,2,6,3,3.71,0
179,stable,17,17,0,0,0,4.47,0
180,stable,17,17,0,0,1,5.0,0
181,stable,7,6,0,1,1,4.25,1
182,stable,11,10,0,1,2,4.89,1
183,stable,7,5,0,2,0,5.0,0
184,declining,9,3,3,6,3,3.2,0
185,stable,18,17,0,1,0,3.98,0
186,pressured,17,14,1,3,0,5.0,0
187,declining,7,4,2,3,4,2.86,1
188,stable,16,13,1,3,2,4.49,0
189,stable,17,13,0,4,1,5.0,0
190,stable,17,17,1,0,0,5.0,0
191,stable,18,13,1,5,0,4.17,0
192,stable,18,13,0,5,1,3.97,0
193,declining,14,4,5,10,1,2.82,1
194,stable,13,10,1,3,0,4.33,0
195,pressured,6,3,1,3,1,3.12,0
196,declining,7,3,1,4,4,3.49,1
197,declining,11,3,2,8,1,3.38,0
198,declining,19,8,7,11,3,2.81,0
199,high_risk,9,1,3,8,3,2.45,1
200,declining,17,11,5,6,1,3.67,0
201,stable,19,17,0,2,0,5.0,0
202,declining,11,7,4,4,4,4.2,0
203,stable,8,6,0,2,0,3.62,0
204,high_risk,15,5,6,10,2,2.78,1
205,high_risk,13,2,3,11,4,2.13,0
206,high_risk,7,3,2,4,4,4.57,1
207,high_risk,17,3,8,14,3,3.45,1
208,high_risk,12,2,6,10,3,3.02,0
209,high_risk,18,1,9,17,3,2.29,1
210,pressured,11,6,2,5,0,4.39,0
211,declining,20,6,6,14,4,2.31,1
212,pressured,15,12,1,3,1,4.04,1
213,pressured,17,9,0,8,1,4.6,0
214,declining,17,11,5,6,3,4.42,1
215,stable,20,19,1,1,0,3.88,0
216,stable,8,7,0,1,1,4.99,0
217,declining,19,6,2,13,2,3.6,1
218,stable,11,11,0,0,1,5.0,0
219,stable,12,12,1,0,0,4.8,0
220,stable,7,5,0,2,2,3.98,0
221,stable,7,5,0,2,1,4.49,1
222,declining,6,1,2,5,3,3.51,0
223,declining,15,9,5,6,2,3.49,0
224,pressured,14,9,3,5,1,4.03,0
225,declining,11,4,2,7,1,3.3,0
226,pressured,14,11,2,3,0,5.0,0
227,declining,17,9,2,8,1,3.48,1
228,declining,19,10,3,9,2,2.98,0
229,high_risk,7,1,4,6,2,2.43,1
230,pressured,12,7,3,5,2,2.97,0
231,pressured,20,15,4,5,2,4.09,1
232,pressured,7,4,0,3,0,4.12,0
233,declining,8,5,2,3,4,3.31,0
234,pressured,12,9,1,3,2,5.0,0
235,stable,15,15,1,0,1,4.8,1
236,high_risk,12,5,6,7,2,3.74,0
237,stable,14,14,1,0,0,5.0,0
238,pressured,15,8,1,7,2,3.55,0
239,pressured,20,11,3,9,1,5.0,1
240,stable,12,12,0,0,1,3.66,0
241,stable,14,11,1,3,2,5.0,0
242,declining,16,10,5,6,2,4.17,1
243,pressured,12,10,1,2,0,3.72,0
244,pressured,7,3,1,4,2,3.23,0
245,pressured,8,5,0,3,1,4.97,0
246,pressured,7,5,1,2,1,3.36,0
247,stable,20,15,2,5,1,4.16,0
248,declining,9,4,2,5,1,2.98,1
249,stable,9,9,0,0,0,4.85,0
250,declining,6,1,1,5,4,3.95,1
251,stable,7,5,0,2,1,3.45,0
252,declining,19,11,3,8,4,3.14,0
253,declining,20,11,6,9,1,3.54,0
254,declining,19,12,3,7,2,2.45,0
255,stable,19,14,0,5,0,4.83,0
256,stable,20,20,0,0,1,4.87,0
257,stable,8,6,0,2,1,4.2,0
258,stable,9,6,0,3,0,3.7,0
259,stable,20,20,0,0,2,5.0,0
260,declining,15,4,3,11,2,4.03,0
261,declining,14,6,2,8,3,3.2,0
262,declining,13,3,5,10,3,2.54,1
263,declining,11,4,3,7,1,3.22,1
264,pressured,19,16,4,3,0,4.74,1
265,pressured,16,12,4,4,1,3.33,0
266,declining,18,9,6,9,2,3.73,0
267,pressured,6,5,0,1,0,3.83,0
268,pressured,14,11,3,3,0,4.03,0
269,high_risk,14,1,3,13,2,2.62,1
270,stable,17,16,1,1,2,5.0,0
271,pressured,6,5,0,1,2,3.84,0
272,declining,18,5,4,13,1,3.31,1
273,stable,10,10,0,0,1,4.94,0
274,declining,8,4,2,4,1,3.54,0
275,stable,15,14,0,1,2,4.29,0
276,stable,9,7,0,2,1,4.89,1
277,pressured,20,12,2,8,0,3.96,1
278,high_risk,17,2,6,15,3,2.13,1
279,stable,14,12,1,2,1,4.79,0
280,stable,19,14,1,5,0,4.39,0
281,high_risk,6,0,3,6,3,1.56,0
282,pressured,12,9,3,3,2,4.29,0
283,stable,17,16,0,1,1,4.91,0
284,pressured,12,9,0,3,1,4.02,0
285,pressured,20,16,3,4,2,4.65,0
286,stable,15,12,1,3,0,4.6,0
287,stable,8,7,0,1,1,4.77,0
288,stable,14,14,0,0,1,3.96,0
289,declining,19,10,2,9,2,4.34,0
290,pressured,8,4,1,4,2,4.47,0
291,high_risk,8,1,2,7,3,4.0,1
292,pressured,14,11,3,3,0,3.6,0
293,declining,13,7,2,6,3,3.65,0
294,declining,17,8,4,9,1,3.6,0
295,declining,17,10,3,7,2,4.16,0
296,stable,6,6,0,0,0,4.5,0
297,pressured,16,10,0,6,1,3.62,0
298,stable,11,10,1,1,2,5.0,0
299,stable,9,6,0,3,1,4.38,0
300,stable,19,15,0,4,0,3.42,0
301,declining,15,8,5,7,2,3.14,0
302,declining,9,3,1,6,2,3.66,1
303,pressured,9,7,0,2,0,3.88,0
304,stable,11,10,1,1,0,3.95,0
305,pressured,13,9,3,4,1,2.42,1
306,stable,13,11,1,2,2,4.95,0
307,declining,13,8,1,5,1,3.4,0
308,high_risk,17,1,8,16,2,2.79,1
309,pressured,14,7,0,7,0,3.75,0
310,pressured,7,4,1,3,1,3.03,0
311,stable,11,11,0,0,1,5.0,0
312,stable,16,13,0,3,2,4.36,0
313,stable,9,7,0,2,2,4.94,1
314,declining,9,5,2,4,3,4.17,0
315,declining,6,3,1,3,1,3.56,1
316,declining,12,6,3,6,1,3.13,0
317,pressured,16,11,1,5,0,5.0,0
318,high_risk,13,2,4,11,5,3.56,0
319,stable,8,6,0,2,2,5.0,1
320,declining,16,8,5,8,2,3.53,0
321,high_risk,17,3,9,14,4,2.46,0
322,declining,9,5,2,4,2,3.96,0
323,stable,14,12,0,2,0,4.28,0
324,stable,14,13,1,1,1,4.89,0
325,high_risk,7,2,4,5,5,1.92,0
326,pressured,10,8,1,2,1,3.8,0
327,high_risk,8,2,3,6,3,2.24,1
328,declining,19,11,4,8,3,4.96,1
329,stable,8,8,0,0,2,5.0,0
330,stable,8,7,0,1,0,4.01,0
331,stable,14,14,0,0,1,5.0,0
332,stable,20,16,2,4,0,4.43,1
333,stable,7,6,0,1,1,4.24,0
334,declining,16,7,2,9,1,2.91,1
335,high_risk,11,4,2,7,4,3.99,0
336,pressured,17,9,3,8,2,4.04,0
337,declining,18,8,2,10,2,3.8,1
338,stable,14,12,1,2,1,4.09,0
339,high_risk,7,0,1,7,3,3.35,0
340,pressured,16,13,1,3,0,5.0,0
341,declining,8,5,1,3,1,4.57,0
342,pressured,20,14,4,6,1,4.25,0
343,high_risk,18,6,8,12,4,3.77,0
344,stable,9,7,0,2,0,4.3,0
345,stable,16,12,0,4,2,4.97,0
346,declining,16,6,5,10,2,3.11,0
347,pressured,13,9,3,4,0,5.0,0
348,stable,13,11,1,2,0,3.99,0
349,pressured,19,11,2,8,1,3.86,1
350,stable,8,8,0,0,2,5.0,1
351,declining,19,7,4,12,1,4.32,0
352,stable,18,13,0,5,1,3.96,0
353,stable,16,16,0,0,2,5.0,0
354,stable,20,18,0,2,0,3.93,0
355,declining,7,4,1,3,1,4.36,0
356,stable,14,10,0,4,2,4.55,0
357,high_risk,11,3,3,8,2,3.35,1
358,pressured,10,5,1,5,0,4.99,0
359,declining,11,6,1,5,2,3.76,1
360,high_risk,19,4,7,15,3,3.53,1
361,pressured,14,9,3,5,1,3.67,0
362,pressured,17,13,3,4,0,4.05,0
363,stable,18,14,1,4,1,3.51,1
364,stable,11,11,0,0,1,5.0,0
365,pressured,20,14,1,6,0,4.27,1
366,stable,16,14,1,2,2,4.74,1
367,pressured,19,11,4,8,1,4.17,0
368,high_risk,18,3,10,15,3,2.24,1
369,stable,9,6,0,3,0,5.0,0
370,declining,8,3,2,5,4,2.28,0
371,pressured,20,14,5,6,2,2.66,0
372,pressured,20,12,3,8,2,4.35,0
373,stable,11,8,1,3,1,5.0,0
374,declining,11,5,3,6,4,3.26,0
375,pressured,20,14,5,6,1,3.63,0
376,high_risk,17,6,4,11,4,3.53,0
377,pressured,11,8,2,3,1,5.0,0
378,declining,14,6,3,8,1,2.77,0
379,pressured,8,6,2,2,2,4.26,1
380,high_risk,6,0,1,6,2,3.02,0
381,high_risk,16,5,8,11,4,3.16,1
382,declining,16,6,3,10,2,3.6,0
383,declining,14,6,5,8,2,2.91,1
384,declining,6,3,0,3,1,4.56,0
385,declining,20,6,6,14,3,2.69,1
386,pressured,19,16,2,3,2,4.48,0
387,pressured,7,3,0,4,2,2.81,1
388,declining,11,6,2,5,2,3.88,0
389,stable,7,7,0,0,2,5.0,0
390,stable,14,14,0,0,0,4.68,0
391,declining,20,6,8,14,2,4.03,1
392,stable,17,17,1,0,0,5.0,0
393,pressured,18,11,1,7,2,4.44,0
394,stable,6,5,0,1,0,5.0,1
395,declining,12,4,4,8,1,3.42,1
396,declining,16,6,2,10,3,3.51,0
397,high_risk,8,0,4,8,2,2.66,0
398,stable,18,13,1,5,2,4.17,0
399,stable,10,7,0,3,0,4.0,1
400,high_risk,14,5,6,9,4,2.48,0
401,stable,11,11,0,0,0,4.2,0
402,stable,12,9,0,3,1,4.39,0
403,declining,14,4,3,10,3,3.8,0
404,stable,14,13,1,1,2,5.0,0
405,pressured,13,7,3,6,0,3.12,1
406,pressured,17,13,1,4,1,3.48,0
407,declining,6,2,1,4,3,1.93,0
408,stable,16,12,1,4,1,4.19,0
409,stable,17,12,1,5,1,4.38,1
410,pressured,10,6,2,4,0,4.46,0
411,stable,14,13,1,1,2,4.9,0
412,pressured,13,7,2,6,0,4.99,0
413,stable,13,11,0,2,0,4.66,0
414,declining,9,3,1,6,3,3.96,0
415,pressured,20,14,1,6,0,3.85,1
416,declining,18,7,4,11,1,3.08,0
417,pressured,17,11,2,6,0,4.42,0
418,high_risk,14,6,4,8,3,3.23,0
419,declining,16,9,2,7,2,4.52,0
420,high_risk,11,2,3,9,3,2.56,1
421,stable,19,19,0,0,0,4.54,0
422,high_risk,13,3,4,10,3,3.38,0
423,pressured,8,6,2,2,1,4.02,1
424,high_risk,7,0,3,7,4,2.47,1
425,declining,18,6,7,12,4,2.39,1
426,high_risk,7,1,1,6,3,2.78,0
427,declining,17,8,3,9,3,2.9,1
428,declining,16,9,6,7,3,3.76,1
429,declining,15,7,2,8,2,4.18,1
430,declining,6,3,0,3,2,3.94,0
431,pressured,19,10,1,9,0,4.23,0
432,stable,15,12,0,3,2,3.55,0
433,stable,15,11,0,4,1,4.16,0
434,pressured,8,4,2,4,1,3.96,0
435,pressured,12,7,3,5,0,4.52,0
436,stable,18,13,1,5,2,4.03,1
437,declining,16,7,3,9,3,3.52,1
438,stable,9,7,0,2,0,5.0,0
439,stable,14,10,0,4,0,4.03,1
440,declining,14,8,2,6,4,2.87,0
441,high_risk,12,5,7,7,5,3.17,0
442,pressured,7,4,1,3,0,3.18,0
443,stable,19,16,0,3,1,3.74,0
444,stable,16,13,1,3,2,4.12,0
445,stable,15,11,0,4,2,4.98,1
446,pressured,9,4,0,5,2,4.45,0
447,declining,16,9,2,7,3,4.55,0
448,declining,18,5,6,13,2,3.6,1
449,high_risk,20,2,8,18,5,3.03,1
450,stable,9,7,0,2,0,4.52,1
451,stable,15,11,1,4,1,3.36,0
452,pressured,6,5,0,1,0,4.34,0
453,stable,19,16,0,3,2,4.68,0
454,stable,11,10,0,1,0,4.8,0
455,high_risk,7,3,3,4,4,2.28,1
456,stable,10,9,0,1,2,5.0,0
457,pressured,17,14,4,3,1,3.63,1
458,declining,16,5,5,11,1,2.38,0
459,declining,19,11,4,8,4,3.5,1
460,pressured,14,8,1,6,0,4.17,0
461,pressured,17,14,0,3,0,4.74,0
462,stable,8,7,0,1,1,3.84,0
463,stable,15,12,0,3,2,4.45,1
464,declining,20,7,8,13,1,3.14,1
465,stable,15,11,0,4,1,3.73,0
466,high_risk,15,1,4,14,2,2.32,0
467,high_risk,16,6,7,10,3,2.69,0
468,high_risk,14,4,5,10,2,2.93,1
469,declining,11,3,2,8,2,2.84,0
470,declining,20,12,6,8,1,4.3,0
471,high_risk,17,1,6,16,2,3.41,1
472,declining,20,13,6,7,3,4.3,1
473,stable,16,13,1,3,2,5.0,0
474,stable,12,10,1,2,1,4.2,0
475,stable,13,11,1,2,1,4.94,0
476,pressured,14,11,1,3,2,4.87,0
477,pressured,11,6,0,5,1,3.98,0
478,declining,15,7,3,8,4,4.47,1
479,pressured,20,16,3,4,1,3.79,0
480,stable,12,11,1,1,1,4.51,0
481,stable,18,17,0,1,1,5.0,0
482,stable,17,15,0,2,1,4.95,0
483,pressured,9,7,0,2,0,4.8,0
484,pressured,15,9,2,6,0,3.78,0
485,stable,18,15,0,3,1,5.0,0
486,pressured,19,10,0,9,0,4.15,0
487,declining,9,4,3,5,1,3.89,0
488,stable,6,5,0,1,2,5.0,0
489,stable,20,18,2,2,1,5.0,0
490,pressured,8,5,2,3,1,4.0,0
491,pressured,20,11,1,9,2,3.52,0
492,stable,18,18,0,0,1,5.0,0
493,declining,10,6,1,4,1,4.21,0
494,declining,8,4,2,4,1,3.52,0
495,declining,16,4,4,12,1,3.74,1
496,high_risk,11,4,2,7,5,3.35,0
497,high_risk,14,3,6,11,4,2.92,1
498,pressured,20,13,3,7,0,2.89,0
499,stable,7,6,0,1,1,5.0,0
500,declining,18,6,3,12,1,2.12,0
501,high_risk,16,2,8,14,4,2.11,1
502,pressured,16,11,3,5,2,3.24,0
503,stable,16,13,1,3,0,5.0,0
504,stable,9,9,0,0,0,3.97,0
505,declining,12,4,4,8,1,2.65,0
506,pressured,15,8,3,7,2,4.6,0
507,declining,15,8,6,7,2,2.82,1
508,pressured,13,9,0,4,0,4.97,0
509,high_risk,17,3,10,14,5,2.52,1
510,declining,6,2,1,4,1,3.18,1
511,declining,6,2,0,4,4,4.16,1
512,stable,12,9,0,3,2,3.86,0
513,stable,9,7,0,2,0,4.08,0
514,stable,18,17,1,1,2,4.88,0
515,high_risk,11,1,4,10,5,3.11,0
516,declining,16,4,6,12,4,2.75,0
517,high_risk,18,7,6,11,5,4.69,1
518,high_risk,16,3,8,13,4,1.88,0
519,stable,10,9,1,1,1,3.83,1
520,stable,8,6,0,2,0,5.0,0
521,stable,18,15,0,3,1,4.06,0
522,high_risk,19,2,10,17,5,3.32,1
523,high_risk,17,2,7,15,3,3.03,0
524,pressured,7,5,0,2,1,4.9,0
525,stable,10,9,0,1,2,5.0,0
526,declining,9,2,3,7,4,3.77,0
527,declining,18,10,7,8,2,4.29,0
528,high_risk,8,3,3,5,3,3.62,0
529,declining,7,3,2,4,3,2.33,0
530,pressured,19,10,3,9,2,4.44,0
531,stable,18,15,0,3,2,4.01,0
532,stable,15,11,0,4,2,5.0,0
533,declining,19,10,5,9,4,3.77,0
534,pressured,7,5,1,2,1,4.27,0
535,stable,15,14,0,1,0,4.9,0
536,stable,12,12,0,0,1,4.81,0
537,stable,15,14,0,1,0,5.0,0
538,declining,19,12,4,7,4,4.73,1
539,stable,12,11,0,1,1,3.96,0
540,declining,13,3,2,10,3,1.95,1
541,pressured,14,10,1,4,2,2.7,0
542,declining,17,11,2,6,3,5.0,0
543,declining,16,4,6,12,1,4.07,0
544,stable,12,12,0,0,0,5.0,0
545,pressured,17,13,2,4,2,4.48,0
546,high_risk,13,1,5,12,3,2.39,1
547,pressured,20,15,5,5,1,4.01,0
548,declining,18,11,3,7,2,2.88,1
549,stable,9,6,0,3,0,3.87,0
550,stable,19,16,1,3,2,4.3,0
551,pressured,14,11,3,3,2,2.4,0
552,declining,18,10,7,8,2,3.06,0
553,stable,12,9,1,3,2,4.72,0
554,stable,9,7,0,2,0,4.6,0
555,high_risk,17,3,6,14,3,2.47,1
556,high_risk,13,3,6,10,2,2.05,1
557,stable,12,11,0,1,0,4.84,0
558,high_risk,11,2,6,9,2,1.63,0
559,declining,8,4,3,4,4,3.6,1
560,declining,11,6,2,5,2,3.87,0
561,declining,15,4,4,11,4,3.76,0
562,stable,8,7,0,1,2,5.0,0
563,high_risk,6,2,2,4,5,2.85,1
564,stable,12,10,0,2,0,4.29,0
565,stable,11,9,0,2,1,3.74,0
566,stable,16,12,0,4,2,4.94,0
567,pressured,7,5,0,2,1,5.0,0
568,stable,15,15,0,0,0,4.14,0
569,pressured,9,5,0,4,2,4.6,0
570,pressured,16,11,3,5,2,4.78,0
571,pressured,12,8,3,4,1,4.2,1
572,declining,15,8,6,7,3,3.35,1
573,pressured,10,5,2,5,1,3.9,1
574,pressured,20,15,5,5,1,5.0,0
575,stable,15,15,1,0,2,4.68,0
576,pressured,14,8,1,6,1,3.73,0
577,pressured,18,14,0,4,0,3.76,0
578,high_risk,8,1,3,7,4,2.86,1
579,declining,18,5,6,13,4,3.16,1
580,pressured,9,5,1,4,2,4.18,0
581,pressured,19,15,4,4,2,3.49,0
582,declining,6,3,2,3,4,3.26,0
583,declining,13,7,5,6,1,4.3,0
584,stable,20,20,2,0,1,4.39,0
585,pressured,7,5,0,2,1,3.85,0
586,pressured,12,7,0,5,0,3.51,0
587,stable,7,5,0,2,0,5.0,0
588,declining,11,4,1,7,2,3.36,1
589,pressured,15,9,2,6,1,2.76,0
590,stable,8,7,0,1,2,4.7,0
591,stable,6,4,0,2,2,5.0,0
592,pressured,12,8,0,4,2,3.59,0
593,stable,19,14,1,5,0,3.72,1
594,pressured,9,7,2,2,1,3.65,0
595,pressured,20,11,2,9,1,4.49,0
596,stable,8,7,0,1,1,5.0,1
597,declining,18,11,2,7,4,3.41,1
598,stable,6,6,0,0,1,4.22,0
599,high_risk,14,4,5,10,4,3.51,1
600,stable,15,13,0,2,2,3.97,0
601,stable,12,10,0,2,0,4.81,0
602,declining,10,4,4,6,4,3.38,1
603,high_risk,19,7,11,12,3,1.0,1
604,pressured,8,4,1,4,0,3.58,0
605,stable,9,6,0,3,1,3.67,1
606,declining,19,9,4,10,3,2.55,0
607,high_risk,9,3,5,6,4,2.09,1
608,declining,14,7,2,7,4,3.31,0
609,stable,19,16,0,3,1,3.85,1
610,stable,12,12,0,0,1,5.0,0
611,pressured,18,15,2,3,2,5.0,0
612,stable,6,5,0,1,2,4.18,0
613,declining,12,7,4,5,3,3.91,1
614,stable,15,13,1,2,1,4.03,0
615,stable,15,13,0,2,1,5.0,0
616,stable,14,14,1,0,1,5.0,0
617,declining,15,8,6,7,2,3.52,1
618,stable,14,11,1,3,0,3.92,1
619,stable,7,7,0,0,1,5.0,0
620,declining,19,6,6,13,3,1.82,0
621,pressured,13,11,1,2,1,4.53,0
622,pressured,13,10,0,3,1,3.98,0
623,high_risk,14,1,7,13,5,3.19,1
624,stable,10,10,0,0,2,5.0,1
625,declining,6,1,2,5,2,2.83,1
626,declining,16,9,4,7,1,1.73,1
627,pressured,19,15,4,4,2,4.86,0
628,high_risk,16,1,4,15,5,3.03,1
629,declining,11,5,1,6,2,4.57,0
630,pressured,18,12,4,6,2,4.06,0
631,declining,17,8,5,9,1,3.89,0
632,stable,16,16,0,0,0,4.43,0
633,declining,11,5,3,6,4,3.4,0
634,stable,8,8,0,0,2,4.21,0
635,stable,15,12,0,3,2,4.5,0
636,stable,15,14,0,1,2,4.35,0
637,declining,13,5,5,8,4,3.47,0
638,high_risk,19,5,11,14,5,1.98,1
639,declining,14,7,3,7,4,4.48,0
640,high_risk,12,5,4,7,5,2.91,0
641,declining,18,7,2,11,4,3.07,1
642,high_risk,19,8,4,11,4,3.51,1
643,declining,11,6,2,5,2,2.39,0
644,stable,15,12,0,3,2,3.78,0
645,high_risk,6,0,1,6,5,3.27,1
646,pressured,19,11,0,8,0,3.73,0
